pore_number,N,Canonical_STRONGs,radius,Canonical_STRONG_radius,barrier_CO2,barrier_N2,barrier_O2
100383,19,AAFFACAFFFZFZFFZFFFACCAFFFAAFFFZFFZFACAFFZFFZFFF,1.61,162AAFFACAFFFZFZFFZFFFACCAFFFAAFFFZFFZFACAFFZFFZFFF,36.22,31.14,24.33
100387,19,AAFFFACCAFFFZFZFFFZFZFAAFZFFFAAFFFZFFACAFZFFZFFF,1.61,162AAFFFACCAFFFZFZFFFZFZFAAFZFFFAAFFFZFFACAFZFFZFFF,25.43,22.72,16.76
100402,19,AAFFFACCAFFFAAFFFZFFZFACAFFFZFZFFFZFAAFZFZFFZFFF,1.61,162AAFFFACCAFFFAAFFFZFFZFACAFFFZFZFFFZFAAFZFZFFZFFF,45.57,37.07,29.84
100426,19,AAFFFACCAFFFAAFFFZFFZFAAFZFFZFFZFFFACAFZFZFFZFFF,1.61,162AAFFFACCAFFFAAFFFZFFZFAAFZFFZFFZFFFACAFZFZFFZFFF,34.22,28.84,22.51
100463,19,AAFFFACCAFFFZFFZFFACAFFFZFZFZFFFZFFACAFZFZFFZFFF,1.61,162AAFFFACCAFFFZFFZFFACAFFFZFZFZFFFZFFACAFZFZFFZFFF,23.99,22.35,16.49
100469,19,AAFFFACCAFFFZFFZFFACAFFZFFFAAFFZFFFACAFZFZFFZFFF,1.61,162AAFFFACCAFFFZFFZFFACAFFZFFFAAFFZFFFACAFZFZFFZFFF,22.84,21.48,15.46
100471,19,AAFFFACCAFFFZFZFFZFFFACAFZFFZFFZFFFACAFZFZFFZFFF,1.61,162AAFFFACCAFFFZFZFFZFFFACAFZFFZFFZFFFACAFZFZFFZFFF,21.95,23.05,15.39
100473,19,AAFFFACCAFFFZFFZFFAAFZFZFZFFFZFFZFZFAAFZFZFFZFFF,1.61,162AAFFFACCAFFFZFFZFFAAFZFZFZFFFZFFZFZFAAFZFZFFZFFF,18.21,17.06,12.19
100486,19,AAFFAAFFFZFZFFFZFACAFFZFFZFFFACCAFFFAAFFFZFFZFZF,1.61,162AAFFAAFFFZFZFFFZFACAFFZFFZFFFACCAFFFAAFFFZFFZFZF,21.24,19.49,14.37
100489,19,AAFFFACCAFFFZFZFFFZFACAFZFFFZFFZFZFFAAFZFZFFZFFF,1.61,162AAFFFACCAFFFZFZFFFZFACAFZFFFZFFZFZFFAAFZFZFFZFFF,20.42,18.68,13.82
