STRONGS of xyz file 
file_name 	 STRONGS 
pore1297.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1298.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1299.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore13.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore130.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1300.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1301.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1302.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1303.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1304.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1305.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1306.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1307.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1308.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1309.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore131.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1310.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1311.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1312.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1313.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1314.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1315.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1316.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1317.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1318.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1319.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore132.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1320.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1321.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1322.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1323.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1324.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1325.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1326.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1327.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1328.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1329.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore133.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1330.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1331.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1332.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1333.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1334.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1335.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1336.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1337.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1338.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1339.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore134.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1340.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1341.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1342.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1343.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1344.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1345.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1346.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1347.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1348.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1349.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
