STRONGS of xyz file 
file_name 	 STRONGS 
circle_56.xyz 	 FFAAFFZFZFZFFZFZFZFFZFZFZFFZFZFZFFAAFFFAAFFAAF 
circle_57.xyz 	 FFAAFFZFZFZFFZFZFZFFZFZFZFFZFZFZFFAAFFFSFFZFAAF 
circle_58.xyz 	 FFAAFFZFZFZFFZFZFZFFZFZFZFFZFZFZFFAAFFFSFFAAFFFS 
circle_59.xyz 	 FFAAFFZFZFZFFZFZFZFFZFZFZFFZFZFZFZFFFSFFSFFAAFFFS 
circle_60.xyz 	 FFAAFFZFZFZFFZFZFZFFZFZFZFFAAFFFAAFZFFFSFFSFFAAFFFS 
circle_61.xyz 	 FFZFZFZFZFFZFZFZFFZFZFZFFAAFFFAAFZFFFSFFSFFAAFFFSFFS 
circle_62.xyz 	 FFZFAAFFFAAFFZFZFZFFZFZFZFFAAFFFAAFZFFFSFFSFFAAFFFSFFS 
circle_63.xyz 	 FFZFAAFFFAAFFZFZFZFFZFZFZFFAAFFFAAFZFFFSFZFFAAFFFSFFS 
circle_64.xyz 	 FFZFAAFFFAAFFZFZFZFFZFZFZFFAAFFFSFFAAFFFSFZFFAAFFFSFFS 
circle_65.xyz 	 FFZFAAFFFAAFFZFZFZFFZFZFZFFAAFFFSFFAAFFFSFZFFAAFFZFFS 
circle_66.xyz 	 FFAAFFFSFFAAFFZFZFZFFZFZFZFFAAFFFSFFAAFFFSFZFFAAFFZFFS 
circle_67.xyz 	 FFAAFFFSFFAAFFZFZFZFFZFZFZFFAAFFFSFFAAFFZFZFFAAFFZFFS 
circle_68.xyz 	 FFAAFFFSFFAAFFZFZFZFFZFZFZFFAAFFFSFFAAFFZFZFFAAFFZFZ 
circle_69.xyz 	 FFAAFFFSFFAAFFZFZFZFFAAFFFAAFFAAFFFSFFAAFFZFZFFAAFFZFZ 
circle_70.xyz 	 FFAAFFFSFFAAFFAAFFFAAFFAAFFFAAFFAAFFFSFFAAFFZFZFFAAFFZFZ 
circle_71.xyz 	 FFAAFFFSFFAAFFAAFFFAAFFAAFFFAAFZFFFSFFSFFAAFFZFZFFAAFFZFZ 
circle_72.xyz 	 FFAAFFFSFFSFFZFAAFFFAAFFAAFFFAAFZFFFSFFSFFAAFFZFZFFAAFFZFZ 
circle_73.xyz 	 FFAAFFFSFFSFFZFAAFFFAAFFAAFFFAAFZFFFSFZFFAAFFZFZFFAAFFZFZ 
circle_74.xyz 	 FFAAFFZFFSFFZFAAFFFAAFFAAFFFAAFZFFFSFZFFAAFFZFZFFAAFFZFZ 
circle_75.xyz 	 FFAAFFZFFSFFZFAAFFFAAFFAAFFFSFFAAFFFSFZFFAAFFZFZFFAAFFZFZ 
